Date,Production,Source,Plant Name,Plant ID,Current Status,Year,Month,Month_Name,Year_Month,Day
2025-08-20,122.82491,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,8,August,2025-08,20
2025-08-21,117.37637,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,8,August,2025-08,21
2025-08-22,140.39799,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,8,August,2025-08,22
2025-08-23,152.78358,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,8,August,2025-08,23
2025-08-24,153.1576,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,8,August,2025-08,24
2025-08-25,144.22354,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,8,August,2025-08,25
2025-08-26,133.62935,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,8,August,2025-08,26
2025-08-27,140.55812,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,8,August,2025-08,27
2025-08-28,138.35819,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,8,August,2025-08,28
2025-08-29,130.59102,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,8,August,2025-08,29
2025-08-30,127.66253,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,8,August,2025-08,30
2025-08-31,130.41368,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,8,August,2025-08,31
2025-09-01,84.6635,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,9,September,2025-09,1
2025-09-02,114.77362,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,9,September,2025-09,2
2025-09-03,90.3863,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,9,September,2025-09,3
2025-09-04,137.38585,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,9,September,2025-09,4
2025-09-05,133.19376,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,9,September,2025-09,5
2025-09-06,121.21744,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,9,September,2025-09,6
2025-09-07,68.9251,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,9,September,2025-09,7
2025-09-08,105.3863,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,9,September,2025-09,8
2025-09-09,21.20703,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,9,September,2025-09,9
2025-09-10,0.0,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,9,September,2025-09,10
2025-09-11,0.0,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,9,September,2025-09,11
2025-09-12,0.0,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,9,September,2025-09,12
2025-09-13,0.0,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,9,September,2025-09,13
2025-09-14,0.0,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,9,September,2025-09,14
2025-09-15,55.00966,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,9,September,2025-09,15
2025-09-16,113.79426,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,9,September,2025-09,16
2025-09-17,108.67357,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,9,September,2025-09,17
2025-09-18,101.27047,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,9,September,2025-09,18
2025-09-19,94.18578,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,9,September,2025-09,19
2025-09-20,94.86438,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,9,September,2025-09,20
2025-09-21,69.48007,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,9,September,2025-09,21
2025-09-22,104.82217,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,9,September,2025-09,22
2025-09-23,98.10975,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,9,September,2025-09,23
2025-09-24,45.34731,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,9,September,2025-09,24
2025-09-25,90.26094,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,9,September,2025-09,25
2025-09-26,96.19535,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,9,September,2025-09,26
2025-09-27,58.28897,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,9,September,2025-09,27
2025-09-28,61.54857,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,9,September,2025-09,28
2025-09-29,50.07423,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,9,September,2025-09,29
2025-09-30,29.90926,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,9,September,2025-09,30
2025-10-01,47.71269,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,10,October,2025-10,1
2025-10-02,85.19544,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,10,October,2025-10,2
2025-10-03,74.16696,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,10,October,2025-10,3
2025-10-04,52.60496,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,10,October,2025-10,4
2025-10-05,87.75524,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,10,October,2025-10,5
2025-10-06,52.22118,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,10,October,2025-10,6
2025-10-07,56.75565,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,10,October,2025-10,7
2025-10-08,62.62942,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,10,October,2025-10,8
2025-10-09,84.01039,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,10,October,2025-10,9
2025-10-10,75.94191,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,10,October,2025-10,10
2025-10-11,24.84253,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,10,October,2025-10,11
2025-10-12,33.57148,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,10,October,2025-10,12
2025-10-13,76.47039,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,10,October,2025-10,13
2025-10-14,84.69478,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,10,October,2025-10,14
2025-10-15,78.9035,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,10,October,2025-10,15
2025-10-16,74.07054,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,10,October,2025-10,16
2025-10-17,72.32819,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,10,October,2025-10,17
2025-10-18,74.98411,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,10,October,2025-10,18
2025-10-19,33.17539,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,10,October,2025-10,19
2025-10-20,54.49062,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,10,October,2025-10,20
2025-10-21,63.28724,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,10,October,2025-10,21
2025-10-22,65.15189,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,10,October,2025-10,22
2025-10-23,59.24252,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,10,October,2025-10,23
2025-10-24,31.78188,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,10,October,2025-10,24
2025-10-25,60.99986,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,10,October,2025-10,25
2025-10-26,18.80713,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,10,October,2025-10,26
2025-10-27,17.70041,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,10,October,2025-10,27
2025-10-28,63.6922,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,10,October,2025-10,28
2025-10-29,46.56279,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,10,October,2025-10,29
2025-10-30,38.87725,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,10,October,2025-10,30
2025-10-31,31.5646,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,10,October,2025-10,31
2025-11-01,21.90894,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,11,November,2025-11,1
2025-11-02,54.71393,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,11,November,2025-11,2
2025-11-03,40.4003,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,11,November,2025-11,3
2025-11-04,51.05769,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,11,November,2025-11,4
2025-11-05,27.03305,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,11,November,2025-11,5
2025-11-06,13.49013,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,11,November,2025-11,6
2025-11-07,0.41774,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,11,November,2025-11,7
2025-11-08,15.52135,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,11,November,2025-11,8
2025-11-09,25.3939,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,11,November,2025-11,9
2025-11-10,27.03163,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,11,November,2025-11,10
2025-11-11,35.95155,Bissell,Bissell Thrift 118 Ave,Unknown,Active,2025,11,November,2025-11,11
