Feature,Importance
price_kWh,0.3596922512740723
Price ($),0.34435280508739274
revenue_roll_7,0.12467856718143319
daily_kWh,0.047864192607393136
solar_roll_7,0.01901762174488525
revenue_roll_14,0.018686464379309608
solar_lag_1,0.013198964187909244
daily_demand_MW,0.012392937823166191
week_of_year,0.010124876069318962
revenue_lag_1,0.006946436620724458
solar_lag_7,0.0053483844601266515
revenue_lag_30,0.005344835203119265
month,0.0053160703439217956
revenue_lag_7,0.004803755561491041
revenue_lag_14,0.003942724438894003
price_lag_1,0.0036471488491467206
day_of_month,0.0036296659987172138
price_lag_7,0.0032759989386686146
day_of_week,0.0031234458329696155
price_roll_14,0.0027194726743954155
price_roll_7,0.0018933807229446781
